Date,SPY,IVV,VOO,SPLG,SPXL,SPXS,SPDN,SPUU,NSPI,SPXU,UPRO,SDS,SH,SSO,JMOM,VUG,VONV,IUSV,FREL,XSW,VHT,MGK,JVAL,VOT,VIOG,NURE,GLD,XLU,TQQQ,VCR,FNCL,IFRA,PBD,RYT,FTEC,SCHI,SUSC,VTC,VCIT,VEA,IEFA,EFA,SCHF,EFV,SCZ,SPDW,FNDF,EWC,DBEF,GSIE
2019-12-24,310.22918701171875,311.2853088378906,284.8928527832031,36.374752044677734,65.51387023925781,133.2029266357422,24.45177459716797,59.0914306640625,,100.50904083251953,34.713050842285156,124.54625701904297,24.027202606201172,37.388946533203125,29.802038192749023,178.94300842285156,56.98017120361328,59.621063232421875,25.375646591186523,101.3801040649414,187.5576629638672,143.11444091796875,27.416074752807617,156.76405334472656,163.71847534179688,28.454692840576172,141.27000427246094,59.60081481933594,21.459999084472656,182.66627502441406,42.02875900268555,27.28580093383789,13.803605079650879,194.65328979492188,70.70437622070312,47.57077407836914,25.163583755493164,83.56761932373047,87.65676879882812,42.254947662353516,62.749019622802734,66.68307495117188,32.45669174194336,47.7154426574707,60.047611236572266,30.161815643310547,27.93830108642578,28.82451629638672,32.62793731689453,29.371932983398438
2019-12-26,311.88055419921875,312.896484375,286.35040283203125,36.58690643310547,66.50981903076172,131.1044464111328,24.32684326171875,59.61814880371094,,99.01114654541016,35.22119140625,123.29829406738281,23.897327423095703,37.7569465637207,29.902050018310547,180.44061279296875,57.118255615234375,59.78219985961914,25.523881912231445,101.79747772216797,187.0913848876953,144.39663696289062,27.475629806518555,157.129638671875,163.5513153076172,28.558677673339844,142.3800048828125,59.703121185302734,22.017499923706055,184.6917266845703,42.24706268310547,27.315353393554688,13.91175365447998,195.12417602539062,71.24336242675781,47.63840103149414,25.161678314208984,83.65544128417969,87.67601776123047,42.44780731201172,62.999969482421875,66.9720687866211,32.602149963378906,47.89755630493164,60.4174919128418,30.277751922607422,28.074016571044922,28.980009078979492,32.75253677368164,29.461746215820312
2019-12-27,311.8033142089844,312.8385925292969,286.35040283203125,36.55797576904297,66.46998596191406,131.20437622070312,24.32684326171875,59.68955993652344,,99.06107330322266,35.20624542236328,123.29829406738281,23.907318115234375,37.742027282714844,29.954999923706055,180.38150024414062,57.09445571899414,59.791683197021484,25.59799575805664,101.44966888427734,187.10107421875,144.40647888183594,27.44821548461914,157.0505828857422,162.91220092773438,28.634937286376953,142.3300018310547,59.879844665527344,21.952499389648438,184.7111053466797,42.180625915527344,27.231454849243164,13.921584129333496,194.98684692382812,71.18456268310547,47.723175048828125,25.2139835357666,83.8499526977539,87.8490219116211,42.56352233886719,63.1544075012207,67.0876693725586,32.69912338256836,48.02216720581055,60.719242095947266,30.355039596557617,28.112794876098633,28.97028923034668,32.6471061706543,29.569128036499023
2019-12-30,310.08428955078125,311.1502380371094,284.7770690917969,36.3843879699707,65.3047103881836,133.50270080566406,24.476760864257812,58.984291076660156,,100.8086166381836,34.62337875366211,124.69601440429688,24.047183990478516,37.3392219543457,29.753990173339844,179.120361328125,56.85638427734375,59.55471420288086,25.625791549682617,100.71431732177734,185.74105834960938,143.43002319335938,27.331945419311523,156.1613311767578,162.75489807128906,28.654001235961914,142.6300048828125,59.870540618896484,21.514999389648438,183.4997100830078,42.06672286987305,27.20380973815918,14.000237464904785,193.64279174804688,70.79257202148438,47.757450103759766,25.19497299194336,83.89244079589844,87.94512939453125,42.254947662353516,62.69110107421875,66.58673095703125,32.46638488769531,47.70585632324219,60.29095458984375,30.14249610900879,27.93830108642578,28.873104095458984,32.33079528808594,29.403173446655273
2019-12-31,310.8375549316406,311.8544921875,285.51055908203125,36.4711799621582,65.81265258789062,132.40350341796875,24.41779327392578,59.26997756958008,,99.95980834960938,34.8774528503418,124.09699249267578,23.987241744995117,37.50580596923828,29.817724227905273,179.48492431640625,57.065879821777344,59.734806060791016,25.811086654663086,100.98262786865234,186.26564025878906,143.66676330566406,27.403783798217773,156.8826141357422,162.9023895263672,28.816049575805664,142.89999389648438,60.10307312011719,21.637500762939453,183.6256866455078,42.16164016723633,27.32297706604004,14.059229850769043,194.3098907470703,71.02776336669922,47.68982696533203,25.161678314208984,83.65071105957031,87.7817153930664,42.48637771606445,62.971012115478516,66.89500427246094,32.611846923828125,47.859222412109375,60.62190246582031,30.287412643432617,28.035240173339844,29.048036575317383,32.37871551513672,29.530078887939453
2020-01-02,313.7445068359375,314.8260498046875,288.0394287109375,36.77977752685547,67.63525390625,128.80612182617188,24.19691276550293,60.35020065307617,,97.31352233886719,35.81900405883789,121.85066986083984,23.75745964050293,38.179649353027344,30.06776237487793,182.0662841796875,57.299190521240234,59.924381256103516,25.459030151367188,102.33409881591797,186.58627319335938,145.77748107910156,27.53139877319336,158.12757873535156,163.3743133544922,28.438573837280273,143.9499969482422,59.34968566894531,22.709999084472656,185.80618286132812,42.50334167480469,27.106569290161133,14.295186042785645,197.056884765625,72.31150817871094,47.732696533203125,25.190210342407227,83.74137115478516,87.89706420898438,42.833518981933594,63.637020111083984,67.56935119628906,32.87367248535156,48.35765075683594,61.1669921875,30.52893829345703,28.316368103027344,29.135499954223633,32.77171325683594,29.75460433959961
2020-01-03,311.3687438964844,312.4044494628906,285.9352722167969,36.5483283996582,66.0118408203125,131.70401000976562,24.376815795898438,59.609214782714844,,99.46051025390625,35.04184341430664,123.49797058105469,23.937288284301758,37.61273193359375,30.01775360107422,180.81504821777344,56.913516998291016,59.50732421875,25.653587341308594,102.0657730102539,184.9541778564453,144.80101013183594,27.31303596496582,157.8706512451172,163.52182006835938,28.691181182861328,145.86000061035156,59.47060012817383,22.092500686645508,184.48817443847656,42.11418151855469,27.053180694580078,14.18703842163086,195.22230529785156,71.6157455444336,47.885093688964844,25.290058135986328,84.09075927734375,88.14697265625,42.312801361083984,62.84553527832031,66.73123168945312,32.52457046508789,47.782535552978516,60.39802551269531,30.1908016204834,27.947994232177734,28.98972511291504,32.407474517822266,29.42269515991211
2020-01-06,312.5566101074219,313.6393127441406,287.0067138671875,36.66404724121094,66.77873229980469,130.4049530029297,24.286863327026367,59.94847106933594,,98.36205291748047,35.405517578125,122.84903717041016,23.857362747192383,37.89618682861328,30.14130210876465,181.97764587402344,56.95637512207031,59.59262466430664,25.681377410888672,102.81108093261719,186.17822265625,145.80706787109375,27.287517547607422,158.31529235839844,163.05970764160156,28.572980880737305,147.38999938964844,59.526405334472656,22.512500762939453,185.23440551757812,42.02875900268555,27.028396606445312,14.18703842163086,194.96722412109375,71.76274871826172,47.86031723022461,25.247272491455078,83.91606140136719,88.08930206298828,42.45744323730469,63.06753158569336,66.99134063720703,32.63124465942383,47.974239349365234,60.43696212768555,30.31639289855957,28.035240173339844,29.135499954223633,32.46498489379883,29.471508026123047
2020-01-07,311.6778259277344,312.78070068359375,286.2151794433594,36.5676155090332,66.27079010009766,131.4042205810547,24.346832275390625,59.609214782714844,,99.31072235107422,35.096649169921875,123.49797058105469,23.917308807373047,37.674888610839844,30.07266616821289,181.91851806640625,56.76115417480469,59.384098052978516,25.375646591186523,102.75145721435547,185.8576202392578,145.6295166015625,27.27522850036621,158.42393493652344,162.48941040039062,28.22695541381836,147.97000122070312,59.44268798828125,22.485000610351562,185.0211944580078,41.80096435546875,26.960704803466797,14.20670223236084,196.11508178710938,71.73333740234375,47.81365203857422,25.2092342376709,83.73663330078125,88.02201843261719,42.38994598388672,62.92275619506836,66.80830383300781,32.55366134643555,47.792118072509766,60.29095458984375,30.229446411132812,27.95768928527832,29.164655685424805,32.51291275024414,29.461746215820312
2020-01-08,313.3388671875,314.37261962890625,287.69195556640625,36.76047897338867,67.28665924072266,129.30575561523438,24.23589324951172,60.225223541259766,,97.71295928955078,35.6396598815918,122.25000762939453,23.797420501708984,38.057804107666016,30.19915199279785,183.34718322753906,56.88494873046875,59.5641975402832,25.46829605102539,103.5563735961914,187.04278564453125,146.8821563720703,27.374481201171875,158.96743774414062,163.34481811523438,28.34134292602539,146.86000061035156,59.414794921875,23.002500534057617,185.69956970214844,42.0097770690918,26.82056427001953,14.30501937866211,197.3904266357422,72.50750732421875,47.762210845947266,25.142669677734375,83.60443115234375,87.96434020996094,42.44780731201172,63.06753158569336,67.00096893310547,32.602149963378906,47.907142639160156,60.271488189697266,30.277751922607422,28.054628372192383,29.135499954223633,32.65668869018555,29.530078887939453
